Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Hue,-0.1805555555555555,-0.0943008679316817,0.0862546876238738,0.0862546876238738
OfficeHome,Ours,resnet,Softmax,Hue,-0.1851851851851851,-0.0943008679316817,0.09088431725350339,0.09088431725350339
OfficeHome,Ours,resnet,Softmax,Hue,-0.1944444444444444,-0.0943008679316817,0.10014357651276269,0.10014357651276269
OfficeHome,Ours,resnet,Softmax,Hue,-0.1967592592592592,-0.0943008679316817,0.10245839132757749,0.10245839132757749
OfficeHome,Ours,resnet,Softmax,Hue,-0.199074074074074,-0.0943008679316817,0.10477320614239229,0.10477320614239229
OfficeHome,Ours,resnet,Softmax,Hue,-0.199074074074074,-0.0943008679316817,0.10477320614239229,0.10477320614239229
OfficeHome,Ours,resnet,Softmax,Hue,-0.0439814814814814,-0.0583660087518824,-0.014384527270401001,0.014384527270401001
OfficeHome,Ours,resnet,Softmax,Hue,-0.0439814814814814,-0.0583660087518824,-0.014384527270401001,0.014384527270401001
OfficeHome,Ours,resnet,Softmax,Hue,-0.0601851851851851,-0.0583660087518824,0.001819176433302698,0.001819176433302698
OfficeHome,Ours,resnet,Softmax,Hue,-0.0624999999999999,-0.0583660087518824,0.004133991248117502,0.004133991248117502
OfficeHome,Ours,resnet,Softmax,Hue,-0.0578703703703703,-0.0583660087518824,-0.0004956383815120993,0.0004956383815120993
OfficeHome,Ours,resnet,Softmax,Hue,-0.0856481481481481,-0.0583660087518824,0.027282139396265698,0.027282139396265698
OfficeHome,Ours,resnet,Softmax,Hue,-0.099537037037037,-0.0583660087518824,0.04117102828515459,0.04117102828515459
OfficeHome,Ours,resnet,Softmax,Hue,-0.1226851851851851,-0.0583660087518824,0.0643191764333027,0.0643191764333027
OfficeHome,Ours,resnet,Softmax,Hue,-0.1388888888888888,-0.0583660087518824,0.08052288013700641,0.08052288013700641
OfficeHome,Ours,resnet,Softmax,Hue,-0.1481481481481481,-0.0583660087518824,0.08978213939626571,0.08978213939626571
OfficeHome,Ours,resnet,Softmax,Hue,-0.1527777777777778,-0.0583660087518824,0.09441176902589539,0.09441176902589539
OfficeHome,Ours,resnet,Softmax,Hue,-0.1574074074074074,-0.0583660087518824,0.09904139865552501,0.09904139865552501
OfficeHome,Ours,resnet,Softmax,Hue,-0.1666666666666666,-0.0583660087518824,0.1083006579147842,0.1083006579147842
OfficeHome,Ours,resnet,Softmax,Hue,-0.1712962962962962,-0.0583660087518824,0.1129302875444138,0.1129302875444138
OfficeHome,Ours,resnet,Softmax,Hue,-0.1805555555555555,-0.0583660087518824,0.1221895468036731,0.1221895468036731
